                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0174,                 1.1567,                 1.1326,                0.88163,                0.74772,                0.84349,                0.69034,                0.79356,                0.65721,                0.96602,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.96535,                0.99956,                 1.1158,                0.82843,                0.77623,                 0.8448,                0.69342,                0.78581,                0.63644,                0.96265,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 0.9525,                0.88667,                 1.0769,                0.88268,                0.76042,                 0.8492,                 0.6963,                0.78399,                0.62852,                0.96217,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.89772,                 0.8219,                  1.066,                 0.9075,                 0.7534,                0.85421,                0.69996,                0.78095,                0.62307,                0.96166,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.89227,                0.82931,                 1.0617,                0.88186,                0.76869,                0.85476,                 0.7056,                0.77691,                0.61531,                0.95828,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.98175,                0.88299,                 1.0875,                0.87331,                0.77907,                0.86109,                0.70744,                0.77896,                0.60893,                0.95766,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.85542,                0.78486,                 1.0594,                0.86255,                0.77608,                0.85908,                0.70856,                0.77926,                0.60944,                0.95648,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.88644,                0.81794,                 1.0515,                0.90267,                0.75928,                0.85732,                0.71266,                0.77963,                0.61078,                0.95428,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 0.9055,                0.81351,                 1.0583,                0.88004,                0.77023,                  0.857,                0.70919,                0.78254,                0.60837,                0.95288,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.91481,                0.77407,                 1.0523,                0.88462,                0.77213,                0.85827,                0.70528,                 0.7805,                 0.6026,                0.95089,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 0.8579,                0.76543,                 1.0301,                 0.8707,                0.77379,                0.86072,                0.70086,                0.77739,                0.58602,                0.94973,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.87868,                0.76837,                 1.0642,                0.86622,                0.78492,                0.86266,                0.70459,                0.77632,                0.57672,                0.94941,             0.00010074,             0.00010074,             0.00010074
                     13,                 0.8758,                0.78227,                 1.0449,                 0.8844,                0.77711,                0.86436,                0.70726,                 0.7763,                0.57206,                0.94804,             0.00010486,             0.00010486,             0.00010486
                     14,                0.88495,                0.75518,                 1.0533,                0.89368,                0.78821,                0.87358,                0.70763,                0.77512,                0.56941,                0.94634,             0.00010486,             0.00010486,             0.00010486
                     15,                0.86139,                0.74544,                 1.0402,                 0.8877,                0.78753,                0.87205,                0.70752,                0.76862,                0.56905,                0.94356,             0.00010368,             0.00010368,             0.00010368
                     16,                0.92013,                0.76416,                 1.0496,                0.87679,                0.79805,                0.86919,                 0.7078,                0.76788,                0.56723,                 0.9431,             0.00010251,             0.00010251,             0.00010251
                     17,                0.85957,                0.75491,                 1.0385,                0.87258,                0.80794,                0.87608,                0.71734,                 0.7637,                0.56174,                0.94256,             0.00010133,             0.00010133,             0.00010133
                     18,                0.87357,                 0.7542,                 1.0449,                0.88803,                0.80376,                0.87648,                0.72051,                0.75704,                 0.5565,                0.93857,             0.00010015,             0.00010015,             0.00010015
                     19,                 0.8514,                0.75088,                  1.051,                0.90353,                0.79916,                  0.879,                0.72475,                0.75382,                0.55469,                0.93705,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.84848,                0.72271,                 1.0305,                0.90268,                0.79261,                0.87994,                0.72886,                0.75097,                0.55334,                0.93571,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                0.86882,                0.72633,                  1.049,                0.90521,                0.79164,                0.88146,                0.73174,                 0.7487,                0.55271,                0.93407,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                0.86593,                 0.7589,                 1.0419,                0.90347,                0.79249,                0.87977,                0.73178,                0.74321,                0.54871,                0.93307,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.89621,                0.75755,                 1.0389,                 0.8739,                0.81547,                0.88525,                0.73376,                0.73843,                0.54411,                0.93154,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.85221,                0.74563,                  1.023,                0.86848,                0.82761,                0.88861,                0.73741,                0.73541,                0.54361,                 0.9301,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.82411,                0.72717,                 1.0346,                0.87871,                0.82323,                0.88979,                0.73548,                0.73712,                0.54369,                0.93008,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.83338,                0.72302,                 1.0358,                0.87661,                0.81786,                0.88594,                 0.7331,                0.73883,                0.54011,                0.92997,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.85725,                0.71736,                 1.0288,                0.89774,                0.80003,                0.88702,                 0.7309,                0.74001,                0.53612,                0.93147,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.86073,                0.73252,                 1.0409,                0.88771,                0.81294,                0.89132,                 0.7354,                0.73889,                0.53237,                0.93148,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.83673,                0.70507,                 1.0289,                0.86932,                0.82565,                0.89193,                0.73734,                0.73636,                0.53319,                0.93079,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.84295,                 0.7125,                 1.0261,                0.92055,                0.79415,                 0.8928,                0.73709,                0.73743,                0.53474,                0.93226,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.81842,                0.69258,                 1.0351,                0.87582,                0.82571,                0.89235,                 0.7392,                0.73409,                 0.5342,                0.92998,             8.4835e-05,             8.4835e-05,             8.4835e-05
