                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2173,                 1.7675,                 1.2794,                 0.6485,                0.53004,                0.59416,                0.44726,                 1.0801,                 1.3523,                 1.1356,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2214,                 1.6551,                 1.2811,                0.65815,                0.52947,                0.59915,                0.44811,                 1.0687,                 1.2065,                 1.1273,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.2228,                 1.5796,                 1.2423,                 0.6602,                0.54066,                0.60454,                0.45865,                 1.0595,                 1.1392,                 1.1198,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2395,                 1.5763,                 1.2631,                0.69281,                0.54177,                0.62748,                0.47059,                 1.0548,                 1.0882,                 1.1154,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1548,                 1.3344,                 1.2308,                0.74179,                0.55527,                0.64803,                0.48569,                 1.0496,                 1.0599,                 1.1096,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1358,                 1.3698,                 1.2143,                0.73049,                0.59106,                0.66367,                0.50054,                 1.0416,                 1.0276,                 1.1023,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1151,                 1.2047,                 1.1945,                0.75059,                 0.6017,                0.67277,                0.51085,                 1.0364,                 1.0034,                 1.0997,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1292,                 1.2265,                 1.2049,                0.74691,                 0.6239,                0.68372,                0.52249,                 1.0293,                0.96836,                 1.0966,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.068,                 1.1409,                 1.1644,                 0.7939,                0.60873,                0.69512,                0.52986,                 1.0183,                0.93719,                 1.0873,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0686,                 1.1898,                 1.1832,                0.79095,                0.61343,                0.69957,                0.53559,                 1.0129,                0.92196,                 1.0834,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0581,                 1.1183,                 1.1583,                0.79773,                0.61788,                0.71065,                0.54423,                  1.005,                0.90505,                 1.0783,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1069,                 1.1538,                 1.1959,                0.80167,                0.62574,                0.72031,                0.55166,                 1.0017,                 0.8917,                 1.0744,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0544,                 1.0924,                 1.1547,                0.84188,                0.62721,                0.73236,                0.55936,                0.99249,                0.86978,                 1.0683,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0226,                 1.0554,                 1.1612,                0.83443,                0.63331,                0.75349,                0.58305,                0.98302,                0.85207,                 1.0638,             0.00010486,             0.00010486,             0.00010486
                     15,                0.98085,                 1.0227,                 1.1354,                0.82416,                 0.6514,                0.75949,                0.59027,                0.97584,                0.83492,                 1.0608,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0372,                 1.0188,                 1.1433,                0.81669,                0.68226,                0.77084,                0.59937,                0.96892,                 0.8195,                 1.0561,             0.00010251,             0.00010251,             0.00010251
                     17,                  1.057,                 1.0474,                 1.1529,                0.80112,                0.70917,                0.77558,                0.60731,                0.95941,                0.80265,                 1.0495,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0702,                 1.0008,                 1.1364,                0.80598,                0.71741,                0.78253,                0.61656,                0.94913,                0.78719,                 1.0437,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97837,                0.96018,                 1.1267,                0.81576,                0.71563,                0.78903,                0.62571,                0.93468,                0.77241,                 1.0377,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.99601,                0.99897,                 1.1275,                 0.8403,                 0.7108,                0.79974,                0.63319,                 0.9242,                0.76038,                 1.0335,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0069,                0.93698,                 1.1253,                0.86058,                0.70971,                0.80543,                0.63113,                0.91874,                0.74726,                 1.0311,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0106,                0.92163,                 1.1074,                0.82879,                0.72903,                0.80609,                0.63476,                0.91508,                0.73971,                 1.0301,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 0.9853,                0.95271,                 1.1383,                0.76548,                0.78099,                0.81418,                0.63973,                0.90357,                0.73114,                 1.0242,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.98469,                0.94561,                 1.1126,                0.82731,                0.74115,                0.81702,                 0.6444,                0.89124,                0.71849,                 1.0186,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.95614,                0.88844,                 1.0978,                0.82325,                0.74279,                0.82283,                0.64891,                 0.8831,                0.71038,                  1.013,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.99601,                0.92573,                 1.1096,                 0.8128,                0.74244,                0.82541,                 0.6537,                0.88089,                0.70265,                 1.0126,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                 0.9674,                0.90579,                 1.1097,                0.82061,                0.74723,                0.83128,                0.65673,                0.87285,                0.69465,                 1.0082,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.96747,                0.87815,                 1.1093,                0.83869,                0.74468,                0.83769,                0.66311,                0.86599,                0.68504,                  1.002,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 1.0534,                0.93127,                 1.1204,                0.85907,                0.74434,                0.84019,                0.67368,                0.85713,                 0.6727,                0.99689,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.93558,                0.84226,                 1.0834,                0.84911,                0.76081,                0.84371,                0.67775,                 0.8497,                0.66444,                0.99205,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.92665,                0.84155,                 1.0909,                0.87056,                0.75325,                0.84489,                0.67825,                0.84441,                0.66023,                0.98867,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.92555,                0.86375,                 1.0672,                0.84478,                0.76328,                0.84178,                0.67431,                0.84212,                0.65569,                0.98754,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                 0.9591,                0.88091,                 1.1181,                0.88084,                0.75312,                0.84296,                0.67938,                0.83873,                0.64868,                0.98565,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.93461,                0.84019,                  1.083,                0.87649,                0.74684,                0.84255,                0.67425,                0.83503,                0.63965,                0.98519,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.9384,                0.86026,                 1.1133,                0.87928,                0.75494,                0.85003,                0.68463,                0.83044,                0.63166,                0.98166,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.92341,                0.83547,                 1.0916,                0.88094,                0.75212,                0.85435,                0.68972,                0.82264,                 0.6279,                0.97776,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91769,                0.82685,                 1.0905,                0.89928,                0.75174,                0.85595,                0.68691,                0.82152,                0.62433,                0.97655,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90215,                0.82796,                 1.0886,                0.90744,                0.75419,                0.85854,                0.68962,                0.81737,                0.62201,                0.97486,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 0.9224,                0.81714,                 1.0762,                0.90373,                0.75317,                0.85583,                0.69035,                0.81671,                0.61523,                0.97339,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92604,                0.83434,                 1.0762,                0.90554,                0.75441,                0.85683,                0.69714,                0.81436,                0.61207,                0.97195,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90689,                0.80276,                 1.0697,                0.89209,                0.75937,                0.85488,                0.69675,                0.81014,                 0.6103,                0.96936,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.85957,                0.77531,                 1.0501,                0.89166,                0.76043,                0.85424,                0.70028,                0.80293,                0.60931,                0.96506,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92509,                0.82598,                  1.059,                0.85868,                0.77787,                0.85431,                0.70308,                 0.7947,                0.60926,                 0.9616,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88576,                 0.7975,                 1.0715,                0.89441,                0.76286,                 0.8597,                0.70479,                0.79112,                0.60734,                 0.9608,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91349,                0.79251,                 1.0588,                0.90285,                0.76415,                0.86052,                0.70642,                0.78837,                0.60194,                0.95996,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.89546,                0.77816,                 1.0783,                0.90458,                0.76599,                0.86159,                0.70583,                 0.7863,                0.59724,                0.95807,             6.7164e-05,             6.7164e-05,             6.7164e-05
