                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2419,                 1.5449,                 1.2917,                0.60123,                0.54474,                0.59705,                 0.4435,                 1.0737,                 1.1091,                 1.1401,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.1981,                 1.5246,                 1.2154,                0.60758,                0.53898,                0.60205,                 0.4467,                 1.0728,                 1.1096,                 1.1407,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                 1.2251,                 1.3681,                  1.268,                0.62541,                0.52877,                0.60835,                0.45269,                 1.0669,                 1.0932,                 1.1393,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                 1.1225,                 1.2572,                 1.2195,                0.62581,                0.55832,                0.62321,                0.46389,                 1.0626,                 1.0775,                  1.138,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.2138,                  1.352,                 1.2256,                0.64167,                0.56564,                0.62984,                0.46653,                 1.0552,                 1.0545,                 1.1349,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                 1.1757,                 1.2899,                 1.2084,                0.64509,                 0.5829,                0.64103,                0.47609,                  1.052,                 1.0356,                 1.1346,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.0914,                   1.13,                 1.1596,                0.66386,                0.58493,                0.65029,                0.48433,                 1.0493,                  1.017,                 1.1322,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.1535,                 1.2167,                 1.2221,                0.67541,                0.58744,                 0.6575,                  0.491,                 1.0434,                 1.0018,                 1.1258,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.0905,                 1.1494,                 1.1693,                0.64791,                0.61687,                0.66238,                0.49372,                 1.0408,                0.98307,                 1.1214,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.0717,                 1.1406,                 1.1791,                0.70005,                0.60495,                0.67265,                0.50579,                 1.0322,                0.96308,                 1.1141,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                 1.1707,                 1.2234,                 1.2136,                0.73228,                0.62029,                0.68556,                0.51772,                 1.0256,                0.94077,                 1.1081,              3.431e-05,              3.431e-05,              3.431e-05
