                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4115,                 2.0771,                  1.407,                0.59377,                0.37286,                0.44959,                0.32107,                 1.2962,                 1.5967,                 1.2865,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.3494,                  2.004,                 1.3194,                 0.5474,                0.38958,                0.45034,                0.32176,                    1.3,                 1.5853,                 1.2899,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                 1.3699,                 1.7522,                 1.3629,                 0.5536,                0.39263,                0.45438,                0.32191,                 1.2928,                 1.5421,                 1.2825,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                 1.2593,                  1.699,                 1.3149,                 0.5592,                0.40005,                0.45955,                0.32778,                  1.275,                 1.5045,                 1.2718,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.3563,                 1.8366,                 1.3285,                0.55854,                0.41849,                0.47232,                0.33687,                 1.2567,                 1.4467,                 1.2561,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                 1.3283,                 1.7003,                 1.3204,                0.58586,                0.43636,                 0.4928,                0.35098,                 1.2419,                 1.3881,                 1.2495,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.2366,                 1.4758,                 1.2479,                0.63604,                0.44829,                0.51013,                0.36434,                 1.2261,                 1.3292,                 1.2369,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.2914,                 1.5747,                 1.3043,                0.60928,                0.46425,                  0.529,                0.37632,                  1.213,                 1.2831,                 1.2266,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.2338,                 1.4676,                 1.2615,                0.58741,                 0.4922,                0.54461,                0.38808,                 1.2033,                 1.2418,                 1.2186,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.2089,                  1.442,                 1.2604,                0.61947,                0.50628,                  0.562,                 0.3987,                  1.189,                  1.205,                 1.2082,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                 1.3006,                 1.4519,                 1.2948,                0.64231,                 0.4958,                0.58124,                0.41097,                  1.175,                 1.1738,                 1.1997,              3.431e-05,              3.431e-05,              3.431e-05
                     12,                 1.2418,                 1.3776,                 1.2454,                0.59803,                0.54521,                0.59824,                0.42733,                 1.1663,                 1.1493,                  1.194,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     13,                 1.1743,                 1.3756,                 1.2547,                0.59658,                0.56247,                 0.6027,                0.43659,                 1.1498,                 1.1212,                 1.1831,             3.9848e-05,             3.9848e-05,             3.9848e-05
                     14,                 1.1841,                 1.3274,                 1.2311,                0.63278,                0.57445,                0.61774,                0.44896,                 1.1343,                 1.0805,                 1.1733,             4.2511e-05,             4.2511e-05,             4.2511e-05
                     15,                 1.1918,                 1.2889,                 1.2228,                0.67016,                0.57264,                0.63782,                0.46864,                 1.1191,                 1.0451,                 1.1666,             4.5103e-05,             4.5103e-05,             4.5103e-05
                     16,                 1.1808,                 1.3078,                 1.2352,                0.68264,                0.58914,                0.64839,                0.47897,                 1.1048,                 1.0102,                 1.1611,             4.7624e-05,             4.7624e-05,             4.7624e-05
                     17,                 1.1229,                 1.1922,                 1.1946,                0.70128,                0.59648,                0.66548,                0.49499,                 1.0907,                0.98428,                 1.1558,             5.0075e-05,             5.0075e-05,             5.0075e-05
                     18,                 1.1781,                 1.2505,                 1.2404,                0.70176,                0.60013,                0.67261,                0.50193,                 1.0732,                0.95921,                 1.1452,             5.2455e-05,             5.2455e-05,             5.2455e-05
                     19,                 1.0987,                 1.1821,                 1.1875,                0.73859,                0.59986,                0.68284,                0.51385,                 1.0604,                0.93042,                 1.1397,             5.4765e-05,             5.4765e-05,             5.4765e-05
                     20,                 1.0935,                 1.1593,                 1.1981,                0.73944,                0.60917,                0.69104,                0.52222,                 1.0435,                 0.9153,                 1.1289,             5.7003e-05,             5.7003e-05,             5.7003e-05
                     21,                 1.0764,                 1.1429,                 1.1836,                0.73651,                0.63363,                0.70249,                0.53155,                 1.0265,                0.90289,                 1.1189,             5.9172e-05,             5.9172e-05,             5.9172e-05
                     22,                 1.0737,                 1.0706,                 1.1597,                0.75108,                  0.643,                0.71473,                0.54305,                 1.0197,                0.89194,                  1.114,             6.1269e-05,             6.1269e-05,             6.1269e-05
                     23,                 1.0799,                 1.0846,                 1.1754,                0.74434,                0.64931,                 0.7187,                0.54564,                 1.0147,                0.87503,                 1.1106,             6.3296e-05,             6.3296e-05,             6.3296e-05
                     24,                 1.1217,                 1.0857,                 1.1939,                0.75518,                0.65098,                0.73653,                 0.5589,                 1.0065,                0.85701,                 1.1064,             6.5252e-05,             6.5252e-05,             6.5252e-05
                     25,                 1.0705,                 1.0594,                 1.1977,                0.78411,                0.64105,                 0.7401,                0.56454,                0.98842,                0.83276,                 1.0993,             6.7137e-05,             6.7137e-05,             6.7137e-05
                     26,                  1.079,                 1.0567,                 1.1892,                0.73167,                0.67851,                0.74497,                0.56905,                0.97878,                0.80362,                 1.0937,             6.8952e-05,             6.8952e-05,             6.8952e-05
