                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3345,                 1.8409,                 1.3519,                0.55439,                0.42786,                0.47578,                0.33895,                 1.1757,                  1.463,                 1.2032,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.2951,                 1.8216,                 1.2762,                0.55999,                0.43255,                0.47725,                0.34154,                  1.177,                 1.4556,                 1.2046,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                 1.2933,                  1.579,                 1.2981,                0.52156,                0.44624,                0.48773,                0.35049,                 1.1684,                 1.4219,                 1.2008,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                 1.2089,                 1.5002,                 1.2592,                0.54081,                 0.4538,                0.49823,                0.35687,                 1.1603,                  1.373,                 1.1955,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.2886,                 1.5838,                 1.2736,                0.57726,                 0.4522,                0.51825,                0.37304,                 1.1554,                 1.3242,                 1.1903,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                 1.2569,                  1.533,                 1.2589,                0.60095,                0.47206,                 0.5317,                 0.3849,                 1.1512,                 1.2805,                 1.1864,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.1591,                 1.2961,                 1.1984,                0.60598,                 0.4831,                0.54079,                0.39472,                 1.1409,                 1.2352,                 1.1789,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.2499,                 1.4135,                 1.2795,                0.62155,                0.50141,                0.56642,                0.41196,                   1.13,                 1.1985,                 1.1695,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.1474,                 1.3136,                 1.2072,                0.63778,                0.52438,                0.58627,                 0.4264,                 1.1185,                 1.1604,                 1.1606,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.1294,                 1.3258,                 1.2081,                0.66001,                0.53842,                0.60175,                0.44164,                 1.1077,                 1.1289,                 1.1518,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                 1.2415,                 1.3974,                 1.2578,                0.66842,                0.54598,                 0.6221,                0.45726,                 1.0945,                 1.1018,                 1.1425,              3.431e-05,              3.431e-05,              3.431e-05
                     12,                  1.179,                 1.2743,                 1.2097,                0.66441,                0.56627,                0.63192,                0.46447,                 1.0849,                  1.074,                  1.137,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     13,                 1.1211,                 1.2951,                   1.22,                 0.6547,                 0.5824,                0.64208,                0.47452,                 1.0801,                 1.0474,                 1.1349,             3.9848e-05,             3.9848e-05,             3.9848e-05
                     14,                 1.1337,                 1.2355,                 1.2019,                0.68645,                0.58828,                0.65413,                0.48367,                 1.0679,                 1.0174,                 1.1355,             4.2511e-05,             4.2511e-05,             4.2511e-05
                     15,                 1.1263,                 1.2176,                 1.1841,                0.70193,                0.59877,                0.66436,                0.49617,                 1.0585,                 0.9946,                 1.1319,             4.5103e-05,             4.5103e-05,             4.5103e-05
                     16,                 1.1305,                 1.2087,                 1.2002,                0.68808,                0.62354,                0.67853,                0.50846,                 1.0449,                0.96498,                 1.1235,             4.7624e-05,             4.7624e-05,             4.7624e-05
                     17,                 1.0819,                 1.1041,                 1.1636,                0.71439,                0.61955,                0.69245,                0.51931,                 1.0361,                0.94146,                 1.1197,             5.0075e-05,             5.0075e-05,             5.0075e-05
                     18,                 1.1483,                 1.1491,                 1.2135,                 0.7212,                 0.6332,                0.70611,                0.52647,                 1.0307,                0.92468,                  1.113,             5.2455e-05,             5.2455e-05,             5.2455e-05
                     19,                 1.0634,                 1.0983,                 1.1683,                 0.7775,                0.63694,                0.72142,                0.53982,                 1.0192,                0.90699,                 1.1043,             5.4765e-05,             5.4765e-05,             5.4765e-05
                     20,                  1.056,                 1.0738,                 1.1719,                0.79758,                0.64558,                0.72875,                0.54661,                 1.0049,                0.88493,                 1.0964,             5.7003e-05,             5.7003e-05,             5.7003e-05
                     21,                 1.0344,                 1.0905,                  1.157,                0.82253,                0.64205,                0.74814,                0.56178,                0.98842,                0.86286,                 1.0888,             5.9172e-05,             5.9172e-05,             5.9172e-05
                     22,                 1.0477,                0.99478,                 1.1411,                0.82935,                0.64366,                0.75178,                0.57192,                0.97687,                0.84819,                 1.0849,             6.1269e-05,             6.1269e-05,             6.1269e-05
                     23,                  1.058,                 1.0256,                 1.1584,                0.77729,                0.67615,                0.75645,                0.57853,                0.97048,                0.84118,                  1.082,             6.3296e-05,             6.3296e-05,             6.3296e-05
                     24,                 1.0599,                 1.0159,                 1.1585,                0.80088,                0.68586,                0.76066,                0.58492,                0.96104,                0.82583,                 1.0763,             6.5252e-05,             6.5252e-05,             6.5252e-05
                     25,                 1.0285,                 1.0192,                 1.1711,                0.80759,                 0.6879,                0.76391,                 0.5919,                0.93756,                0.79803,                 1.0629,             6.7137e-05,             6.7137e-05,             6.7137e-05
                     26,                 1.0211,                 0.9703,                 1.1511,                0.80937,                 0.7023,                0.76728,                0.60009,                0.92284,                 0.7791,                 1.0565,             6.8952e-05,             6.8952e-05,             6.8952e-05
                     27,                  1.063,                 1.0096,                 1.1559,                0.81476,                0.70241,                0.77323,                0.60162,                0.91912,                0.76662,                 1.0528,             7.0696e-05,             7.0696e-05,             7.0696e-05
                     28,                 1.0236,                0.96557,                 1.1303,                 0.8141,                0.70438,                 0.7811,                0.60516,                0.90907,                0.74816,                 1.0454,             7.2369e-05,             7.2369e-05,             7.2369e-05
                     29,                0.98388,                0.90559,                 1.1191,                0.82694,                0.71025,                0.78931,                0.61247,                0.90127,                0.73415,                 1.0398,             7.3971e-05,             7.3971e-05,             7.3971e-05
                     30,                 1.0326,                0.94778,                 1.1405,                0.78152,                0.73248,                0.79534,                0.61321,                0.90152,                0.72685,                 1.0384,             7.5503e-05,             7.5503e-05,             7.5503e-05
                     31,                0.99863,                0.93919,                 1.1311,                0.81358,                0.73176,                0.80317,                0.61686,                0.90146,                0.72084,                 1.0333,             7.6964e-05,             7.6964e-05,             7.6964e-05
                     32,                 1.0263,                0.94856,                 1.1209,                0.84047,                0.72366,                0.81319,                0.62481,                0.89317,                0.71676,                  1.028,             7.8355e-05,             7.8355e-05,             7.8355e-05
                     33,                0.96628,                0.88272,                 1.1138,                0.83862,                0.72534,                0.81387,                0.62959,                0.88144,                0.70754,                 1.0221,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.94463,                0.86852,                 1.1061,                0.84558,                0.72682,                0.81767,                0.63533,                0.87557,                 0.7069,                 1.0188,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.98682,                0.92643,                 1.1243,                0.85627,                  0.723,                0.81548,                0.64077,                0.86574,                0.68974,                 1.0129,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.95646,                0.86904,                 1.0938,                0.82169,                0.74723,                0.82117,                0.64801,                0.85615,                0.66894,                 1.0071,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.99252,                0.90762,                  1.118,                0.83663,                0.75097,                 0.8246,                0.65241,                0.84437,                0.65949,                 1.0016,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90575,                0.83466,                 1.0861,                0.86605,                0.73975,                0.83614,                  0.659,                0.83658,                0.65026,                0.99855,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.96801,                0.89042,                 1.0992,                0.87022,                0.72926,                0.82333,                0.65417,                0.83472,                0.64295,                0.99649,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 0.9505,                0.84768,                 1.1107,                0.87144,                0.73586,                0.82634,                0.66215,                0.82965,                0.64249,                0.99495,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.97458,                0.86293,                 1.1413,                 0.8602,                 0.7414,                0.82897,                  0.666,                0.82358,                0.62823,                0.99062,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95386,                0.87632,                 1.0993,                0.86127,                0.74676,                0.83286,                0.67046,                0.81638,                 0.6127,                0.98619,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92268,                 0.8139,                 1.0868,                0.86376,                0.76344,                0.83566,                0.67339,                0.81185,                0.60721,                0.98225,             7.0698e-05,             7.0698e-05,             7.0698e-05
