                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3653,                 1.9216,                   1.38,                0.53882,                0.42204,                0.45726,                0.32472,                 1.2054,                  1.472,                 1.2424,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.2883,                 1.8854,                 1.2758,                0.60759,                0.39254,                0.45852,                0.32663,                 1.2013,                 1.4578,                 1.2401,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                 1.3053,                 1.6078,                  1.324,                0.53291,                0.42534,                0.46435,                0.33255,                 1.1911,                 1.4246,                 1.2323,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                 1.2129,                 1.5736,                 1.2876,                0.54971,                0.43905,                0.47556,                0.34159,                 1.1856,                 1.3902,                 1.2291,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.3051,                 1.6399,                 1.2924,                0.58207,                0.43952,                0.49175,                0.35562,                 1.1758,                 1.3458,                 1.2239,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                 1.2917,                 1.5885,                 1.2923,                0.63582,                0.42663,                0.50944,                 0.3676,                 1.1729,                 1.3095,                 1.2227,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.1668,                 1.3765,                 1.2031,                0.59986,                0.45745,                 0.5224,                0.37058,                 1.1658,                 1.2769,                 1.2162,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.2408,                 1.4939,                 1.2801,                0.74492,                 0.4217,                0.54542,                0.38855,                 1.1586,                 1.2465,                 1.2106,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.1873,                 1.3642,                 1.2343,                0.63556,                 0.4785,                0.55819,                0.40111,                 1.1488,                 1.2166,                 1.2018,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.1437,                 1.3839,                 1.2254,                0.70338,                0.48125,                0.58251,                0.42417,                 1.1418,                 1.1877,                 1.1984,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                  1.237,                 1.4153,                 1.2609,                 0.6035,                0.53514,                0.59432,                0.43502,                 1.1345,                 1.1594,                 1.1911,              3.431e-05,              3.431e-05,              3.431e-05
                     12,                 1.1886,                 1.3173,                 1.2227,                0.61266,                0.55107,                0.60752,                0.44352,                 1.1247,                 1.1421,                 1.1805,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     13,                 1.1467,                 1.3372,                 1.2348,                0.64441,                0.56499,                0.62455,                0.46259,                 1.1057,                 1.1162,                 1.1639,             3.9848e-05,             3.9848e-05,             3.9848e-05
                     14,                 1.1425,                 1.2749,                 1.2177,                0.71084,                0.55914,                0.63693,                0.47178,                 1.0909,                 1.0787,                 1.1543,             4.2511e-05,             4.2511e-05,             4.2511e-05
                     15,                 1.1557,                 1.2591,                 1.2051,                0.71995,                0.58001,                0.65723,                0.48756,                 1.0802,                 1.0367,                 1.1473,             4.5103e-05,             4.5103e-05,             4.5103e-05
                     16,                 1.1589,                 1.2508,                 1.2195,                0.71798,                0.58947,                0.66708,                 0.5008,                 1.0666,                 1.0008,                 1.1409,             4.7624e-05,             4.7624e-05,             4.7624e-05
                     17,                 1.0958,                 1.1357,                 1.1774,                0.70268,                0.60321,                0.67892,                0.50821,                  1.055,                0.96997,                 1.1339,             5.0075e-05,             5.0075e-05,             5.0075e-05
                     18,                 1.1523,                 1.2034,                  1.218,                0.71613,                0.61448,                0.69004,                0.51844,                 1.0451,                0.94528,                 1.1244,             5.2455e-05,             5.2455e-05,             5.2455e-05
                     19,                 1.0944,                   1.13,                 1.1886,                0.75361,                0.60487,                0.70567,                0.52636,                 1.0354,                0.92874,                 1.1169,             5.4765e-05,             5.4765e-05,             5.4765e-05
                     20,                 1.0617,                 1.1519,                 1.1883,                0.77344,                 0.6038,                 0.7047,                0.53049,                 1.0247,                0.91353,                 1.1095,             5.7003e-05,             5.7003e-05,             5.7003e-05
                     21,                 1.0387,                 1.1374,                 1.1641,                0.80742,                0.60195,                0.71275,                0.53764,                 1.0155,                0.89219,                 1.1033,             5.9172e-05,             5.9172e-05,             5.9172e-05
                     22,                  1.041,                 1.0249,                 1.1414,                0.81615,                0.60893,                0.72141,                0.54802,                 1.0051,                0.87653,                 1.0955,             6.1269e-05,             6.1269e-05,             6.1269e-05
                     23,                 1.0628,                 1.0707,                 1.1622,                0.82601,                0.61952,                0.72854,                0.55734,                0.99378,                0.86112,                 1.0899,             6.3296e-05,             6.3296e-05,             6.3296e-05
                     24,                 1.0683,                 1.0442,                 1.1583,                0.73243,                 0.6718,                0.73164,                0.56066,                0.98276,                0.84604,                 1.0848,             6.5252e-05,             6.5252e-05,             6.5252e-05
                     25,                 1.0293,                 1.0528,                 1.1616,                 0.8458,                0.63142,                0.74336,                0.57181,                0.97065,                0.82833,                  1.083,             6.7137e-05,             6.7137e-05,             6.7137e-05
                     26,                 1.0473,                 1.0184,                 1.1593,                 0.8325,                0.63265,                0.74595,                0.57419,                0.96027,                0.81029,                  1.084,             6.8952e-05,             6.8952e-05,             6.8952e-05
                     27,                 1.0652,                 1.0502,                 1.1561,                0.84632,                0.63873,                0.75796,                0.58591,                0.96279,                0.79444,                 1.0834,             7.0696e-05,             7.0696e-05,             7.0696e-05
                     28,                 1.0505,                0.99942,                 1.1399,                0.85428,                0.64473,                0.76896,                0.59243,                0.95715,                0.77315,                  1.077,             7.2369e-05,             7.2369e-05,             7.2369e-05
                     29,                  0.993,                0.94004,                 1.1248,                0.86611,                0.65293,                0.76655,                0.59494,                0.94606,                0.75774,                 1.0671,             7.3971e-05,             7.3971e-05,             7.3971e-05
                     30,                 1.0236,                0.96195,                 1.1325,                0.84328,                0.66838,                0.77853,                0.60373,                0.93566,                0.74991,                 1.0575,             7.5503e-05,             7.5503e-05,             7.5503e-05
                     31,                 1.0009,                  0.965,                 1.1328,                0.84891,                0.66768,                0.78226,                0.60659,                0.92649,                0.73995,                 1.0511,             7.6964e-05,             7.6964e-05,             7.6964e-05
                     32,                 1.0528,                 0.9682,                 1.1297,                0.81376,                0.69186,                 0.7961,                0.60877,                0.91659,                 0.7278,                  1.046,             7.8355e-05,             7.8355e-05,             7.8355e-05
                     33,                0.96561,                0.88642,                 1.1063,                0.81044,                0.71193,                0.80223,                0.60945,                 0.9101,                0.71676,                 1.0398,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.95288,                0.90781,                 1.1046,                 0.8034,                 0.7163,                0.80824,                0.61499,                0.90398,                0.70118,                  1.033,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.98196,                0.94486,                 1.1267,                0.74966,                0.75968,                0.81278,                0.62742,                0.89203,                0.68617,                 1.0251,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                  0.958,                0.88184,                 1.0987,                0.75241,                0.76396,                0.81387,                0.63238,                0.88008,                0.67798,                 1.0163,             7.8945e-05,             7.8945e-05,             7.8945e-05
