                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3213,                 1.7873,                 1.3465,                0.66968,                0.44152,                 0.5262,                0.38053,                 1.1865,                  1.351,                 1.2147,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.2515,                 1.7089,                  1.245,                0.64829,                0.45008,                0.52872,                0.38338,                 1.1905,                 1.3466,                 1.2195,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                  1.299,                 1.5734,                 1.3139,                0.63872,                0.46389,                0.53053,                0.38409,                 1.1848,                 1.3355,                 1.2166,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                  1.169,                 1.4205,                  1.246,                0.63047,                0.47495,                0.53415,                0.38896,                 1.1789,                 1.3075,                 1.2136,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.2878,                  1.578,                 1.2778,                0.63921,                0.47986,                 0.5428,                0.39766,                 1.1704,                 1.2719,                 1.2079,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                 1.2416,                 1.4806,                 1.2613,                0.63998,                0.49394,                0.55595,                0.40707,                 1.1589,                 1.2312,                 1.1998,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.1483,                 1.3135,                 1.1955,                0.66722,                0.50558,                0.57136,                0.41797,                 1.1405,                 1.1943,                 1.1827,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.2325,                   1.41,                 1.2719,                 0.6505,                0.53453,                0.58882,                0.42391,                 1.1273,                 1.1598,                 1.1714,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.1468,                 1.3054,                  1.209,                0.64514,                0.55144,                0.60635,                0.43656,                  1.115,                 1.1234,                 1.1607,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.1187,                   1.29,                 1.2056,                0.64405,                0.58669,                0.62161,                0.44833,                  1.106,                 1.0938,                 1.1536,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                  1.212,                 1.3251,                 1.2417,                0.67838,                0.57892,                0.63262,                0.45548,                 1.0982,                 1.0633,                 1.1487,              3.431e-05,              3.431e-05,              3.431e-05
                     12,                 1.1628,                 1.2421,                 1.1983,                 0.6788,                0.58765,                0.64443,                0.46897,                 1.0912,                 1.0388,                 1.1444,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     13,                 1.1132,                 1.2463,                 1.2034,                0.73002,                0.58439,                0.65663,                0.47788,                 1.0807,                 1.0134,                  1.138,             3.9848e-05,             3.9848e-05,             3.9848e-05
                     14,                 1.1159,                 1.2147,                 1.1968,                0.70091,                0.60569,                0.67089,                 0.4946,                 1.0701,                0.98397,                 1.1315,             4.2511e-05,             4.2511e-05,             4.2511e-05
                     15,                 1.1255,                 1.1985,                 1.1829,                0.70851,                 0.6299,                0.68765,                0.50553,                 1.0653,                 0.9568,                 1.1287,             4.5103e-05,             4.5103e-05,             4.5103e-05
                     16,                 1.1125,                 1.1731,                 1.1907,                0.71131,                0.63487,                0.69645,                0.51493,                 1.0569,                0.93103,                 1.1208,             4.7624e-05,             4.7624e-05,             4.7624e-05
                     17,                 1.0827,                 1.1027,                 1.1644,                0.73103,                0.63244,                0.70638,                0.52496,                 1.0465,                0.91265,                 1.1141,             5.0075e-05,             5.0075e-05,             5.0075e-05
                     18,                 1.1088,                  1.122,                  1.186,                 0.7445,                0.63519,                0.71003,                0.53087,                 1.0292,                0.89087,                 1.1029,             5.2455e-05,             5.2455e-05,             5.2455e-05
                     19,                 1.0677,                  1.108,                  1.167,                0.75693,                0.64322,                0.71775,                0.54016,                 1.0144,                0.87209,                 1.0923,             5.4765e-05,             5.4765e-05,             5.4765e-05
                     20,                 1.0266,                 1.0643,                 1.1573,                0.77078,                0.64603,                 0.7262,                 0.5493,                0.99767,                0.85125,                 1.0829,             5.7003e-05,             5.7003e-05,             5.7003e-05
                     21,                 1.0193,                 1.0545,                 1.1461,                0.75734,                0.65002,                0.73835,                0.55797,                0.97921,                0.83346,                 1.0719,             5.9172e-05,             5.9172e-05,             5.9172e-05
                     22,                 1.0352,                0.99834,                 1.1327,                0.75417,                 0.6491,                0.74576,                0.56798,                0.96752,                0.81886,                 1.0649,             6.1269e-05,             6.1269e-05,             6.1269e-05
                     23,                 1.0452,                 1.0105,                 1.1533,                0.79573,                0.65765,                0.75682,                0.57452,                0.95245,                0.80649,                 1.0576,             6.3296e-05,             6.3296e-05,             6.3296e-05
                     24,                 1.0629,                 1.0103,                 1.1573,                0.80554,                0.66323,                0.76618,                0.57975,                0.94619,                0.78784,                 1.0543,             6.5252e-05,             6.5252e-05,             6.5252e-05
                     25,                 1.0234,                 0.9914,                 1.1642,                0.82148,                0.65421,                0.77007,                  0.583,                0.92812,                0.76732,                  1.051,             6.7137e-05,             6.7137e-05,             6.7137e-05
                     26,                 1.0228,                0.98997,                 1.1527,                0.77383,                0.70034,                0.77717,                0.58913,                0.91758,                0.75434,                  1.047,             6.8952e-05,             6.8952e-05,             6.8952e-05
                     27,                 1.0707,                 1.0038,                 1.1587,                  0.786,                0.70961,                0.79135,                 0.5972,                0.91337,                0.74325,                 1.0468,             7.0696e-05,             7.0696e-05,             7.0696e-05
                     28,                 1.0507,                 0.9583,                 1.1392,                 0.8157,                0.71532,                0.79864,                0.61019,                 0.9066,                0.73347,                   1.04,             7.2369e-05,             7.2369e-05,             7.2369e-05
