                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1851,                  1.481,                 1.2464,                0.60295,                0.54997,                 0.5996,                0.44416,                 1.0718,                 1.1055,                 1.1607,               2.38e-06,               2.38e-06,               2.38e-06
                      2,                 1.2643,                 1.4639,                 1.2726,                0.59961,                0.55162,                0.60356,                0.44841,                 1.0725,                 1.1021,                 1.1607,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      3,                 1.1348,                 1.3429,                 1.2188,                0.62766,                0.55059,                0.61472,                0.45443,                 1.0708,                 1.0878,                 1.1588,             9.3315e-06,             9.3315e-06,             9.3315e-06
                      4,                 1.1913,                 1.4223,                 1.2408,                0.66275,                0.53913,                0.62562,                0.46298,                 1.0651,                 1.0656,                 1.1549,             1.2701e-05,             1.2701e-05,             1.2701e-05
                      5,                 1.1454,                 1.2075,                 1.1983,                0.71094,                0.53409,                0.64059,                0.47538,                 1.0632,                 1.0435,                  1.154,                1.6e-05,                1.6e-05,                1.6e-05
                      6,                  1.137,                 1.2602,                 1.2256,                0.74269,                0.53487,                0.64808,                0.48474,                 1.0579,                 1.0195,                 1.1511,             1.9229e-05,             1.9229e-05,             1.9229e-05
                      7,                 1.1919,                 1.2632,                 1.2215,                0.73908,                0.55987,                0.66208,                0.49101,                 1.0512,                 0.9929,                 1.1444,             2.2386e-05,             2.2386e-05,             2.2386e-05
                      8,                 1.1571,                 1.2159,                 1.2249,                0.75037,                0.57206,                0.67564,                0.50233,                 1.0409,                0.97225,                 1.1357,             2.5473e-05,             2.5473e-05,             2.5473e-05
                      9,                 1.1399,                 1.2335,                 1.2109,                0.74938,                0.60466,                0.68289,                0.51177,                 1.0297,                  0.953,                 1.1288,              2.849e-05,              2.849e-05,              2.849e-05
                     10,                 1.1162,                 1.1477,                    1.2,                0.72819,                0.62076,                0.69473,                0.52341,                 1.0192,                0.92948,                 1.1205,             3.1435e-05,             3.1435e-05,             3.1435e-05
                     11,                  1.073,                 1.1558,                 1.1882,                0.72688,                0.63841,                0.70378,                0.53086,                 1.0096,                0.90949,                 1.1132,              3.431e-05,              3.431e-05,              3.431e-05
                     12,                 1.0614,                 1.0738,                 1.1697,                0.72816,                0.65899,                0.71678,                0.54073,                0.99524,                0.88951,                 1.1051,             3.7114e-05,             3.7114e-05,             3.7114e-05
                     13,                  1.073,                 1.0986,                 1.1624,                0.73243,                0.66351,                 0.7291,                0.54718,                0.98451,                0.87285,                 1.0977,             3.9848e-05,             3.9848e-05,             3.9848e-05
                     14,                 1.0833,                 1.0761,                 1.1768,                0.76245,                0.64763,                0.73314,                0.55297,                0.97647,                0.85665,                 1.0945,             4.2511e-05,             4.2511e-05,             4.2511e-05
                     15,                 1.1213,                 1.1015,                 1.1741,                0.75087,                0.66108,                0.74247,                0.56239,                0.96923,                0.84355,                 1.0892,             4.5103e-05,             4.5103e-05,             4.5103e-05
                     16,                 1.0423,                 1.0457,                   1.17,                0.76344,                0.66875,                 0.7496,                0.56972,                0.96183,                0.82455,                 1.0841,             4.7624e-05,             4.7624e-05,             4.7624e-05
                     17,                 1.0537,                 1.0291,                 1.1662,                0.78915,                0.65498,                0.76072,                0.58189,                0.95753,                 0.8075,                 1.0822,             5.0075e-05,             5.0075e-05,             5.0075e-05
                     18,                 1.0389,                 1.0636,                 1.1562,                0.78108,                 0.6565,                 0.7573,                0.58312,                0.95051,                0.79475,                 1.0757,             5.2455e-05,             5.2455e-05,             5.2455e-05
                     19,                 1.0478,                0.98604,                 1.1222,                0.74139,                0.69309,                 0.7648,                0.58688,                0.94608,                0.78652,                 1.0714,             5.4765e-05,             5.4765e-05,             5.4765e-05
                     20,                 1.0316,                 1.0184,                 1.1574,                0.78252,                0.68294,                0.76298,                0.58881,                0.94667,                0.78193,                 1.0696,             5.7003e-05,             5.7003e-05,             5.7003e-05
                     21,                 1.0043,                0.94251,                 1.1314,                 0.7825,                0.68293,                0.77106,                 0.5919,                0.95034,                0.77984,                 1.0693,             5.9172e-05,             5.9172e-05,             5.9172e-05
                     22,                0.99071,                0.92861,                  1.122,                0.82702,                0.67883,                0.77492,                0.60088,                0.93999,                0.76272,                 1.0582,             6.1269e-05,             6.1269e-05,             6.1269e-05
                     23,                0.99121,                0.93342,                 1.0967,                0.82218,                0.67317,                0.77698,                0.60506,                0.93021,                0.74551,                 1.0525,             6.3296e-05,             6.3296e-05,             6.3296e-05
                     24,                 1.0377,                0.96216,                   1.13,                0.84451,                0.67044,                0.78328,                0.61164,                0.92265,                0.73133,                 1.0481,             6.5252e-05,             6.5252e-05,             6.5252e-05
                     25,                 1.0153,                0.98215,                 1.1417,                0.84642,                0.67749,                0.79261,                0.61613,                0.91201,                0.71669,                 1.0449,             6.7137e-05,             6.7137e-05,             6.7137e-05
                     26,                0.96131,                0.87951,                 1.1038,                0.85145,                0.69328,                0.80255,                0.62583,                0.89347,                0.69907,                 1.0366,             6.8952e-05,             6.8952e-05,             6.8952e-05
                     27,                0.99026,                0.89073,                 1.1045,                0.86345,                0.68235,                0.80379,                0.63216,                 0.8774,                0.68369,                 1.0288,             7.0696e-05,             7.0696e-05,             7.0696e-05
                     28,                0.96929,                0.86299,                 1.1091,                0.79349,                0.74077,                0.80608,                0.63908,                0.86998,                0.67861,                 1.0241,             7.2369e-05,             7.2369e-05,             7.2369e-05
                     29,                 1.0111,                 0.9024,                  1.115,                 0.8293,                0.70136,                0.81248,                0.63795,                0.86071,                0.67086,                 1.0197,             7.3971e-05,             7.3971e-05,             7.3971e-05
                     30,                 1.0319,                0.92287,                 1.1191,                0.78721,                0.75499,                0.81679,                0.64332,                0.85971,                0.65785,                  1.018,             7.5503e-05,             7.5503e-05,             7.5503e-05
                     31,                 0.9425,                0.86448,                 1.1028,                0.82205,                0.74871,                0.82207,                0.64634,                0.86121,                0.64841,                 1.0197,             7.6964e-05,             7.6964e-05,             7.6964e-05
                     32,                0.94362,                 0.8429,                 1.0881,                0.83938,                0.74163,                0.82757,                0.65858,                0.85438,                0.64062,                 1.0172,             7.8355e-05,             7.8355e-05,             7.8355e-05
                     33,                0.93838,                0.85043,                 1.0761,                0.79364,                0.77073,                0.82797,                0.66196,                0.84713,                0.63422,                 1.0111,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.97425,                0.85203,                 1.0975,                0.83254,                 0.7611,                0.83568,                0.66731,                0.83512,                0.62349,                 1.0084,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95156,                0.85313,                 1.0956,                 0.8347,                0.77361,                0.84253,                0.66596,                0.83466,                0.62555,                  1.008,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.94735,                0.86117,                 1.1078,                0.81939,                0.78076,                0.84082,                0.67241,                0.82935,                0.62535,                  1.002,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.93673,                0.82798,                  1.089,                0.84442,                0.76825,                0.84327,                0.67852,                0.81944,                0.61952,                0.99518,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.89682,                0.79437,                 1.0741,                0.83036,                0.78022,                0.84355,                0.67807,                0.80626,                0.60201,                0.98942,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.94252,                0.82202,                  1.085,                0.83202,                0.78839,                0.84662,                0.68134,                0.79776,                0.59785,                0.98505,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.89139,                0.80113,                 1.0645,                0.86024,                0.77194,                0.84971,                0.68592,                0.79854,                0.59213,                0.98606,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90372,                0.77279,                 1.0547,                0.87861,                0.76276,                0.84912,                0.68832,                0.79709,                0.59178,                0.98389,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95141,                0.79977,                 1.0677,                0.83059,                0.78191,                0.85627,                0.68756,                0.79862,                 0.5885,                0.98383,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.90439,                0.79192,                 1.0721,                0.89495,                0.75194,                0.85823,                0.68846,                0.79111,                0.57638,                 0.9812,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88578,                0.74417,                 1.0649,                0.84377,                0.78455,                0.85969,                 0.6937,                0.77916,                0.56628,                 0.9772,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.87588,                 0.7512,                 1.0439,                0.87094,                0.76997,                0.86068,                0.69686,                0.76983,                0.55794,                0.97274,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.87227,                0.74908,                 1.0411,                0.88415,                0.77067,                0.86057,                0.70139,                0.76078,                0.54603,                0.96843,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88992,                0.76302,                 1.0668,                0.88144,                0.76494,                0.86018,                0.70529,                0.75759,                0.54201,                0.96487,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.86826,                 0.7422,                 1.0518,                 0.8497,                0.78898,                0.86075,                0.70453,                0.75432,                0.54305,                0.96352,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.86589,                0.74989,                 1.0502,                 0.8545,                 0.7802,                0.86153,                0.71017,                0.74824,                0.54339,                0.96175,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.89888,                0.76532,                 1.0537,                0.86504,                  0.779,                 0.8619,                0.70947,                0.73768,                0.53889,                0.95799,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.89432,                0.76496,                 1.0547,                0.85741,                0.79107,                0.86526,                0.71136,                0.73262,                0.53234,                0.95598,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.86053,                0.72995,                 1.0716,                0.85352,                0.80421,                0.86659,                0.71274,                0.73014,                0.53112,                0.95415,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.84136,                0.72288,                 1.0465,                0.85421,                0.80951,                0.86954,                0.71584,                 0.7246,                0.52831,                0.95134,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.89649,                 0.7663,                 1.0461,                0.86176,                0.80434,                0.87081,                0.71865,                0.72066,                 0.5236,                0.94882,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.87528,                0.72209,                 1.0398,                0.85844,                0.81222,                0.87369,                0.71827,                0.72032,                0.52589,                0.94665,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.85005,                 0.7178,                 1.0549,                 0.8467,                0.81936,                0.87392,                0.72064,                 0.7218,                0.52549,                0.94508,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.81808,                0.69816,                 1.0319,                0.83767,                0.82323,                0.87682,                0.72182,                0.72089,                0.52003,                 0.9444,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.85722,                0.74183,                 1.0432,                0.89853,                0.78627,                0.87735,                0.72402,                0.71725,                0.51579,                0.94193,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.86413,                0.73309,                 1.0602,                0.86313,                0.81304,                0.87834,                0.72536,                0.71513,                0.50938,                0.94142,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.84963,                0.71717,                 1.0418,                0.86087,                 0.8115,                0.87625,                0.72353,                 0.7106,                0.51013,                0.93967,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 0.8558,                0.69875,                 1.0389,                0.85727,                 0.8151,                 0.8776,                0.72762,                0.70945,                0.51219,                 0.9386,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.86525,                0.72113,                 1.0352,                0.86184,                0.80871,                0.87351,                0.72697,                0.70526,                0.51312,                0.93656,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.88133,                 0.7347,                 1.0497,                0.90099,                0.78897,                0.87724,                0.72777,                0.70497,                0.51177,                0.93695,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.87406,                0.70538,                 1.0355,                0.86739,                0.82489,                0.87792,                0.72973,                0.70111,                0.50847,                0.93546,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.83102,                0.68887,                 1.0379,                0.90462,                 0.7988,                0.87985,                 0.7301,                0.69599,                0.50593,                0.93458,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.87643,                0.71524,                 1.0311,                 0.8992,                0.81303,                0.88492,                0.72876,                0.69213,                0.50035,                0.93304,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.81818,                0.66731,                 1.0183,                0.88831,                0.81953,                0.88246,                0.72974,                0.68981,                0.49577,                0.93114,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.87391,                0.70321,                 1.0447,                0.87735,                0.81853,                0.88284,                0.73402,                0.68781,                0.49401,                0.92935,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.84085,                 0.6814,                 1.0332,                0.87953,                0.81672,                0.88455,                0.73597,                0.68594,                0.49216,                0.92883,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.83328,                0.69192,                 1.0262,                0.85756,                0.83863,                0.88496,                0.73717,                0.68613,                0.48905,                0.92847,             3.8889e-05,             3.8889e-05,             3.8889e-05
